Gira,Título do Ponto,Letra do Ponto,Médium,Entidade
Caboclo de Oxóssi,Onde mora meus caboclos,"Lá no pé daquela serra
Onde mora meus caboclos
Onde mora meus caboclos
E uma coral piou

Koke (7x)
Kokeia",,
Caboclo de Oxóssi,Tupinambá - Estava na beira do rio,"Estava na beira do rio
Sem poder atravessar
Chamei pelo caboclo
Caboclo Tupinambá

Tupinambá chamei
Chamei, tornei chamar ê á (2x)","Claudia, Lu, Eric Oliveira",Tupinambá
Caboclo de Oxóssi,Pena Branca - Um grito na mata ecoou,"Um grito na mata ecoou
Foi Seu Pena Branca quem chegou (2x)

Com sua flecha
Com seu cocar
Seu Pena Branca
Vem nos ajudar (2x)","Carol, Eduin, Eric Oliveira",Pena Branca
Caboclo de Oxóssi,Cobra Coral - Ele é seu Cobra Coral,"Ele é seu Cobra Coral
Ele é seu Cobra Coral
Filho de Oxóssi das matas
Ele mora no juremá (2x)

Caboclo forte e valente
É o seu Cobra Coral
Força divina e sagrada
Na lei de Pai Oxalá (2x)",Juan,Cobra Coral
Caboclo de Oxóssi,7 Flechas - Foi numa tarde serena (geral),"Foi numa tarde serena
Lá nas matas da Jurema
Que eu o caboclo bradar

Foi numa tarde serena
Lá nas matas da Jurema
Que eu vi meu caboclo bradar

Kiô, kiô, kiô, kiô, ki era
Sua mata está em festa
Saravá seu Sete Flechas
Ele é o rei da floresta (2x)",,7 Flechas
Caboclo de Oxóssi,7 Flechas - Tem festa na aldeia,"Tem festa na aldeia
Caboclo mandou chamar
No meio da floresta
Sete flechas assovia

Filho do guerreiro
Caboclo Tupinambá
Criado na mata
Nos campo do juremá

Rodeia fogueira
Balança maracá
O couro do tambor
Faz o coração vibrar

Rodeia fogueira
Balança maracá
O couro do tambor
Faz o coração vibrar

Okê Arô
Foi na sua flecha que eu encontrei o amor
Okê Arô
Vem nas 7 linhas Sete Flechas já chegou

Já chegou, já chegou
Sete flechas já chegou
Já chegou, já chegou",,7 Flechas
Caboclo de Oxóssi,Coral na estrada,"Oh caçador na beira do caminho
Oi não me mate
Essa coral na estrada
Ela abandonou
Sua choupana, caçador

Foi no romper da madrugada (2x)",,
Caboclo de Oxóssi,No centro da mata virgem,"No centro da Mata virgem
Uma linda cabocla eu vi (2x)

Com seu saiote
Feito de penas
É a Jurema filha de Tupi (2x)

Jurema, Jurema, Jurema
Linda cabocla filha Tupi

Ela vem lá do Juremá
Vem firma seu ponto nesse congá (2x)",,
Caboclo de Oxóssi,Caboclo não tem caminho,"Caboclo não tem caminho
Para caminhar (2x)

Caminha por cima da folha
Por baixo da folha
Em todo lugar (2x)

Nas matas de Oxóssi
Ouvi sabiá cantar
Cantando para a Jurema
Na aldeia d'Yorubá (2x)

Canta curió...
Canta sabiá...
Canta para a mãe d'água
Sereia rainha do mar (2x)",,
Caboclo de Oxóssi,Seu penacho é verde,"Cabocla seu penacho é verde
Seu penacho é verde
É da cor do mar (2x)

É a cor da cabocla Jurema
É a cor da cabocla Jurema (2x)
Lá do Juremá (2x)",,
Caboclo de Oxóssi,O Juremê,"Ô Juremê
Ô Juremá
Sua flecha caiu serana, oh Juremá
Dentro desse congá (2x)

Salve o Sol e salve a lua
Salve São Sebastião
Salve o povo da Jurema
Salve sua a proteção",,
Caboclo de Oxóssi,Clareia a aldeia,"Não tem distância
Não importa o caminho
Não a fronteira
Que possa me impedir
Seja onde for
Eu vou louvar esse caboclo
Que me criou
E me ensinou a lhe seguir

Lá na Aldeia
Quando os tambores tocam
Reune moço velhinho e criança

Clareia, luar clareia
Clareia a Aldeia de Seu Pena Branca
Clareia, luar clareia
Quem tem esse caboclo não perde a confiança

Okê Caboclo
Seus filhos querem lhe agradecer
Okê Caboclo!
Senhor da mata virgem venha sempre me valer",,
Caboclo de Oxóssi,Vem lá da aldeia,"Vem lá da aldeia
Caboclo forte
Guerreiro não bambeia (2x)

Salve Pai Oxóssi Caçador
Flecha certeira é meu protetor (2x)",,
Caboclo de Oxóssi,Acorda Jupira,"Seu capacete
Só tem um brilhante
No meio da mata
Eu vi clarear
No meio da mata
Ouvi um gemido
Eu vi passar
Cabocla de Yorubá (2x)

Acorda Jupira, acorda
Acorda e vem trabalhar
Acorda Jupira, acorda
Pois seu reino
É de Tupinamba (2x)",,
Caboclo de Oxóssi,Cabocla Jussara,"Ela venceu
Ela venceu demanda
Ela vem para o mal derrubar
Jussara, linda cabocla de pena
Ela é filha da Jurema
Neta de Tupinambá (2x)

Bendito seja seu girar nesse terreiro
Seu arco e flecha certeiro
Abençoa nosso caminhar

As matas são o seu lar
Salve Cabocla Jussara
Salve raio de luar (2x)",,
Caboclo de Oxóssi,Ouça o som que vem das matas - Jupira,"Ouça o som
Que vem das matas...laià
Forte brado a ecoar
Para todo mal quebrar

É a cabocla Jupira
Guardiã do jacutá
É a cabocla Jupira
Guardiã do jacutá (2x)

Índia guerreira
Princesa do juremá
Cabocla flecheira
De firmeza no olhar
Traz seus segredos caetés
Itamaracá

Bate folhas, pajelança
Paié do meu congá (2x)",,
Caboclo de Oxóssi,Tava na mata - Curumin,"Tava escondidinho
Tava na mata caçando passarinho (2x)",,
Caboclo de Oxóssi,Curumin - Eu me perdi,"Eu me perdi
Oxossi me achou
Oxossi não é caça
Oxossi é caçador (2x)",,
Caboclo de Oxóssi,Oxalá chamou,"Oxalá chamou!
Oxalá chamou
E já mandou buscar
Os Caboclos da Jurema
Para o seu Juremá, (2x)

Pai Oxalá
É o Rei do mundo inteiro
E já deu ordens pra Jurema
Mandar seus capangueiros

Mandai, mandai
Minha Cabocla Jurema
Os seus guerreiros
Essa é a ordem suprema!",,
Caboclo de Oxóssi,Foi Zambi quem criou o mundo,"Foi Zambi quem criou o mundo
É Zambi quem vem governar (2x)

Foi Zambi quem criou
A estrela que ilumina
Oxossi lá no Juremá. (2x)

Oke, Oke, Oke
Oke seus Caboclos, Oke!! (2x)",,
Caboclo de Oxóssi,Força da Jurema,"Chamei minha cabocla de pena
Chamei lá na mata
Pra ela trabalhar (2x)

Pra ver a força que a Jurema tem
Pra ver a força que a Jurema dá (2x)",,
Caboclo de Oxóssi,Três capacetes de pena,"Mas eu mandei fazer
Três capacetes de penas (2x)

Um é pra Jussara
Outro é pra Jandira
Outro é pra Jurema (2x)",,
Caboclo de Oxóssi,Gostou do índio,"Gostou do índio
Porque não vem ver (2x)

Se ele é Caboclo vem obedecer
Se ele é caboclo
Porque ele veste pena
Venha ver a força que tem a Jurema",,
Caboclo de Oxóssi,A mata tava fechada,"A mata tava fechada
Oxalá mandou abrir
Quem tem sangue de caboclo
Quero ver pisar aqui (2x)

Caboclo é, Caboclo é
Caboclo é a luz da mata é (2x)",,
Caboclo de Oxóssi,Se meu pai é Oxóssi,"Se meu Pai é Oxossi
Eu quero ver balancear (2x)

Arreia, arreia a Capangueira da Jurema
Oi Juremá (2x)",,
Caboclo de Oxóssi,Deixa a Jupira passar,"Ea ea Ê Boca da mata
Deixa a Jupira passar
Boca da mata (4x)",,
Caboclo de Oxóssi,Beija flor,"Lá na mata tem um caboclo
Tão lindo como um beija flor (2x)

Sentado no pé da Jurema
Rezando para Nosso Senhor (2x)",,
Caboclo de Oxóssi,Vestimenta de caboclo,"Vestimenta de caboclo é samambaia
É samambaia, é samambaia (2x)

Saia caboclo, não se atrapalha
Saia do meio da samambaia (2x)

Na Bahia é São Jorge
No Rio, São Sebastião
Oxóssi é quem manda
Nas bandas do meu coração (2x)

Quinta-feira é seu ossé
Axoxó, feijão preto
Camarão, amendoim

Azul e verde, suas cores
Calça branca rendada
Saia curta enfeitada
Ojá e couraça prateada

Na mão, ofá, iluquerê
Okê, arô, Oxóssi, okê, okê
A jurema é a árvore sagrada
Okê, arô, Oxóssi, okê, okê

Na Bahia é São Jorge
No Rio, São Sebastião
Oxóssi é quem manda
Nas bandas do meu coração (4x)",,
Caboclo de Oxóssi,Oxossi - Citação,"Eu vi chover, eu vi relampear
Mas mesmo assim o céu estava azul
Samborê, pemba, é folha de jurema
Oxóssi reina de norte a sul

Oxóssi, filho de Iemanjá
Divindade do clã de Ogum
É Ibualama, é Inlé
Que Oxum levou pro rio e nasceu Logunedé

Sua natureza é da Lua
Na Lua, Oxóssi é Odé

Odé, Odé, Odé, Odé
Rei de Ketu, caboclo da mata, Odé, Odé
Odé, Odé, Odé, Odé
Rei de Ketu, caboclo da mata, Odé, Odé

Quinta-feira é seu ossé
Axoxó, feijão preto
Camarão, amendoim

Azul e verde, suas cores
Calça branca rendada
Saia curta enfeitada
Ojá e couraça prateada

Na mão, ofá, iluquerê
Okê, arô, Oxóssi, okê, okê
A jurema é a árvore sagrada
Okê, arô, Oxóssi, okê, okê",,
Caboclo de Oxóssi,Subida,"Caboclo vai embora
Ele vai pra sua morada (2x)

A benção meu Pai
Proteção a toda hora (2x)",,
Caboclo de Oxóssi,Descarrego de Caboclos,"Descarrega, descarrega
Todo mal que aqui está
Leva, leva, leva
Tudo pró fundo do mar",,
Caboclo de Oxóssi,Descarrego dos Orixás,"Ogun bateu na terra, no rai de Xango
Toda a poeira que sobrou
Oxum pra Aruanda levou, levou, levou
Licenca de Oxossi ela ganhou
Na onda de Iemanjá
Iansa no barra-vento
Pra Oxalá tudo levou, levou, levou",,
Caboclo de Oxóssi,Madalena vem em socorro,"Descarrega, descarrega
Que esse filho tem precisao
Madalena vem em soccorro
Limpa toda a obesessao

Ogun já está de ronda
Exu de prontidao
Leva pro mar profundo
Toda dor e aflicao",,
