Gira,Título do Ponto,Letra do Ponto,Médium,Entidade
Caboclos de Ogum,Ele vai rodar,"Foi no toque dos clarins
Ogum foi se preparar
Montado em seu cavalo branco
Ele vai rodar
Ogum de Ronda, e, e.
Ogum de Ronda a, a. (2x)",Pai Marcos,Ronda da Lua
Caboclos de Ogum,Aruanda Tem,"A Aruanda é pura
A Aruanda tem
Luz para os seus filhos
E para os Caboclos também
Cura caboclo
Sem olhar a quem
Traz para Umbanda
O que Aruanda tem",Pai Marcos,Ronda da Lua
Caboclos de Ogum,Beira rio,"Beira rio, beira rio, beira mar
O que se ganha de Ogum
Só Ogum pode tirar. (2x)

É seu Ogum de Ronda
Quem vai girar
E vem trazendo folhas
Pra descarregar (2x)",Pai Marcos,Ronda da Lua
Caboclos de Ogum,Rompe Ferro - Caboclo valente,"O dono da mata é Oxossi
Protetor dos caboclos de Umbanda (2x)

Aê, Aê Rompe Ferro
É quem vence demanda (2x)

Rompe Ferro é Caboclo valente
Arrebenta corrente, meu Pai Oxalá
Rompe Ferro é cacique de tribo
Derrota o inimigo do lado de lá (2x)",Pai Erick,Rompe Ferro
Caboclos de Ogum,7 Espadas - Ogum é meu pai,"Eu tenho 7 espadas
Pra me defender
Eu tenho Ogum
Em minha companhia (2x)

Ogum é meu pai
Ogum é meu guia
Ogum vai passar
Na fé de Zambi
E da Virgem Maria (2x)","Claudia, Luiz, Juan",7 Espadas
Caboclos de Ogum,7 Espadas - Guerreiro do humaitá,"Okê, Okê Arô
Ele é guerreiro do Humaitá
Okê, Okê Arô
Salve o Caboclo 7 Espadas
Neste Jacutá (2x)

O seu brado ecoa forte
Dissipando todo o mal
Sete espadas é guerreiro
Ele é justo e leal
Luta contra covardia
E protege o filho teu
Ele é do clã de Ogum
A demanda já venceu","Claudia, Luiz, Juan",7 Espadas
Caboclos de Ogum,Ogum Xoroque - Ele é meu pai,"Oh, Ogum
Oh Ogunhê, iê, iê
Oh Ogum
Ogum Xoroquê ê, ê

Meu Senhor das estradas (Ogunhê)
Abra meus caminhos (Ogunhê)
Meu Senhor da porteira (Ogunhê)
Ele é meu pai Ogum Xoroquê",Lu,Ogum Xoroque
Caboclos de Ogum,Ogum Beira Mar - Pisa na linha,"Pisa na linha de Umbanda
Que eu quero ver Ogum de Ronda

Pisa na linha de Umbanda
Que eu quero ver Ogum Beira Mar

Pisa na linha de Umbanda
Que eu quero ver
Ogum Iara, Ogum Megê
Seu cangira de Umbanda auê","Eric Oliveira, Thiago",Ogum Beira Mar
Caboclos de Ogum,Ogum Beira Mar - Jurou Bandeira,"Ele jurou bandeira
Ele tocou clarim (2x)

Com seu exército branco
Ele lutou por mim (2x)

Na beira da praia
Ogum Sete Ondas
Ogum Beira-mar (2x)","Eric Oliveira, Thiago",Ogum Beira Mar
Caboclos de Ogum,Ogum Beira Mar - Ogum Megê,"Salve Ogum Megê
Ogum Rompe Mato
Ogum Beira Mar (2x)

Ele trabalha na areia meu pai
Ele trabalha no mar (2x)","Eric Oliveira, Thiago",Ogum Beira Mar
Caboclos de Ogum,Ogum Beira Mar - Foi la das matas,"Foi la das matas que se ouviu o chamado
Até na praia se ouviu o seu brado.

Era um caboclo filho de mãe sereia.
Com sua flecha, riscou ponto na areia.

Iemanjá veio lhe atender
E com Oxossi nos abencoar

Salve o caboclo das águas.
Salve beira-mar! Salve Odoyá! (2x)","Eric Oliveira, Thiago",Ogum Beira Mar
Caboclos de Ogum,Ogum Beira Mar - Quem trouxe do mar,"Ogum Beira Mar
Quem trouxe do mar (2x)

Quando ele vem
Beirando a areia
Vem trazendo na mão direita
O rosário de Mamãe Sereia

Beiramar, auê Beiramar (4x)

Ogum já jurou bandeira
Nos campos do Humaitá
Ogum já venceu demanda
Vamos todos saravá","Eric Oliveira, Thiago",Ogum Beira Mar
Caboclos de Ogum,Ogum Beira Mar - Sua espada brilha,"A sua espada brilha no raiar do dia
Seu Beiramar é filho da Virgem Maria (2x)

Seu Beira mar
Beirando a areia
Seu Beira mar as ondas do mar
Mareia (2x)","Eric Oliveira, Thiago",Ogum Beira Mar
Caboclos de Ogum,Partiu pra guerra,"Quando Ogum partiu pra guerra
Iemanjá chorou (2x)

Quando Ogum voltou vencedor
Iemanjá cantou (2x)",,
Caboclos de Ogum,Nuvem que passa,"Ogum não devia beber
Ogum não devia fumar (2x)

A fumaça é a nuvem que passa
E a cerveja é a espuma do mar (2x)

Ogum Cavaleiro de Umbanda
Vencedor de Demandas
Não deixa filho tombar (2x)

No luar ele chama a sereia
Risca o ponto na areia
Unindo as forças com o mar
E quando ele chega na aldeia

As estrelas clareiam pra ver
Ogum trabalhar (2x)",,
Caboclos de Ogum,Ogum Iará,"Se meu pai é Ogum
Vencedor de demanda
Quando chega no Reino
É pra saudar filhos de Umbanda (2x)

Ogum, Ogum Iara (2x)

Salve os campos de batalha
Salve as sereias do mar

Ogum, Ogum Iara (2x)",,
Caboclos de Ogum,Ogum de Lei,"Ogum de lei
Não me deixe sofrer
Tanto assim (2x)

Quando eu morrer
Vou passar pela Aruanda
Saravá Ogum
Saravá filhos de Umbanda (2x)",,
Caboclos de Ogum,Eu não seria - Licença a Zambi,"Eu não seria nada
Se não fosse Ogum
Para abrir a minha estrada (2x)

Valente guerreiro
Aqui chegou
Vencedor de demandas
Meu protetor
Em sua trajetória
Meu Pai luta contra o mal
Foi num campo de batalha
Que se tornou meu general

Eu não seria nada
Se não fosse Ogum
Para abrir a minha estrada (2x)

Salve Ogum de Ronda
Salve Seu Ogum Megê
Salve Seu Beira mar
Ogum Iara e Ogum de Lei
Salve toda falange
Desse glorioso guerreiro
Que vence todas demandas
Aqui dentro do terreiro

Pedimos licença a Zambi
A Oxum e Iemanjá
Para abrir nossos trabalhos
Com a bandeira de Oxalá (2x)

Saravá Ogum
Saravá Congá (2x)

Saravá seu Sete Ondas
Ele é rei é Orixá
Saravá as almas
Saravá congá (2x)",,
Caboclos de Ogum,Ubirajara,"Estrela d'Alva é sua guia
Ubirajara é caboclo valente (2x)

Ubirajara mora lá na mata
Lá na grota funda
Lá no fim do mundo (2x)",,
Caboclos de Ogum,Estava na beira da praia,"Estava na beira da praia
Quando eu vi, Sete ondas passar (2x)

Abre a porta oh gente
Que aí vem Ogum
Com seu cavalo marinho
Ele vem saravá (2x)",,
Caboclos de Ogum,Que cavaleiro é aquele,"Que cavaleiro é aquele
Quem vem cavalgando
Pelo céu azul
É seu Ogum Matinata
Ele é defensor do Cruzeiro Sul (2x)

E, e, e
E, e, á
E, e, e, seu Canjira pisa na Umbanda (2x)",,
Caboclos de Ogum,Subida - Selei selei,"Selei, selei
Seu cavalo eu selei (2x)

Pai Ogum já vai embora
Seu cavalo eu selei
Vai com Deus Nossa Senhora
Seu cavalo eu selei",,
Caboclos de Ogum,Descarrego de Caboclos,"Descarrega, descarrega
Todo mal que aqui está
Leva, leva, leva
Tudo pró fundo do mar",,
Caboclos de Ogum,Descarrego dos Orixás,"Ogun bateu na terra, no rai de Xango
Toda a poeira que sobrou
Oxum pra Aruanda levou, levou, levou
Licenca de Oxossi ela ganhou
Na onda de Iemanjá
Iansa no barra-vento
Pra Oxalá tudo levou, levou, levou",,
Caboclos de Ogum,Madalena vem em socorro,"Descarrega, descarrega
Que esse filho tem precisao
Madalena vem em soccorro
Limpa toda a obesessao

Ogun já está de ronda
Exu de prontidao
Leva pro mar profundo
Toda dor e aflicao",,
