Gira,Título do Ponto,Letra do Ponto,Médium,Entidade,Toque
Malandros,Maria Navalha - Mulher malandro,"Mulher malandro
Se conhece é pela saia (2x)","Claudia, Lu",Maria Navalha,
Malandros,Maria Navalha - Gostava de mim,"Maria Navalha foi você quem falou
Você falou que gostava de mim (2x)

Maria Navalha
Quando você for embora
Quando você for embora
Deixe uma rosa pra mim (2x)

Com essa rosa eu vou fazer feitiço
Um feitiço e uma oração (2x)

Maria Navalha
Quando você for embora
Quando você for embora
Me deixe a sua proteção (2x)","Claudia, Lu",Maria Navalha,
Malandros,Zé Pilintra - Seu doutor,"Seu doutor não maltrate esse nego
Que esse nego tem muito valor (2x)

Ele usa camisa de seda
Gravata rendada e anel de doutor (2x)

Seu doutor, seu doutor
(Bravo senhor)
Zé Pilintra chegou
(Bravo senhor)
Mas se tu não queria
(Bravo senhor)
Para que me chamou
(Bravo senhor)

Ele é doutor
Ele é Nagô (3x)","Eric Oliveira, Eduin",Zé Pilintra,
Malandros,Zé Pilintra - Oh boa noite,"Oh boa noite
Pra quem é de boa noite
Oh bom dia
Pra quem é de bom dia (2x)

A benção meu pai a benção
Seu Zé Pilintra é o rei da boêmia (2x)","Eric Oliveira, Eduin",Zé Pilintra,
Malandros,Zé Pilintra - Na rua da Amargura,"Na rua da Amargura
Aonde Zé Pilintra morava (2x)

Ele chorava por uma mulher
Chorava por uma mulher
Ele chorava por uma mulher
Que não lhe amava (2x)

A rua de Santa Teresa
Está de luto
Porque Zé Pilintra morreu (2x)

Ele chorava por uma mulher
Chorava por uma mulher
Ele chorava por uma mulher
Que não lhe amava (2x)","Eric Oliveira, Eduin",Zé Pilintra,
Malandros,Zé Pilintra - Onde é sua morada,"Seu Zé Pilintra
Onde é que o senhor mora?
Seu Zé Pilintra
Onde é sua morada? (2x)

Eu não posso te dizer
Porque você não vai me compreender
Eu nasci no Juremá
Minha morada
É bem pertinho de Oxalá","Eric Oliveira, Eduin",Zé Pilintra,
Malandros,Zé Pilintra da Lapa - Chorava por uma mulher,"Eu encontrei
Zé Pilintra na estrada
Chorando pelo amor de sua amada
Eu encontrei
Pela a alta madrugada
O Zé chorando
Pelo amor de sua amada

Ele chorava por uma mulher
Chorava por uma mulher
Ele chorava por uma mulher
Que não lhe amava (2x)",Juan,Zé Pilintra da Lapa,
Malandros,Zé Malandro - Casa Pequenina,"Vocês estão vendo
Aquela casa pequenina
Lá no alto da colina
Que eu mandei fazer (2x)

É lá que malandro mora
Otário não tem moradia (2x)",Claudia,Zé Malandro,
Malandros,Zé Malandro - Quando vejo ela é um perigo,"Eh quando eu vejo ela
É um perigo
Seu Zé malandro meu coração
Está ferido (2x)

Seu Zé Malandro ela me abandonou
Quando eu mais precisei
O mesmo amor me apunhalou (2x)

Amor não chora
Amor não chora
Foi as últimas palavras
Antes dela ir embora (2x)",Claudia,Zé Malandro,
Malandros,Maria do Morro - E Maria,"E Maria, e Maria do Morro
Rainha da vida
Meu porto, meu socorro
E Maria, e Maria do Morro
Da sua gira, eu nunca corro (2x)

Ela tem mistério na sua risada
Dona do morro e da encruzilhada
Subindo a ladeira
Com passo de dança
No peito do filho ela traz esperança
Quem mexe com ela
Melhor se cuidar
Pois Maria do Morro não é de brincar

E Maria, e Maria do Morro
Rainha da vida
Meu porto, meu socorro
E Maria, e Maria do Morro
Da sua gira, eu nunca corro (2x)

Se a ladeira é alta
Ela sabe subir
Se o caminho é fechado
Ela sabe abrir
Com sua rodada
Ela vai nos guiar",Pai Marcos,Maria do Morro,
Malandros,Zé do Morro - Rei no Catimbó,"O moço é que eu cheguei agora
Eu não quero ir embora, desse samba
Pois quando otário repara a ginga
Aí malandro se vinga quando pensam que é dança

E quando ele desce do seu morro
Geral pede Socorro, a Zé Pelintra
E quando lhe falta a sagacidade
Ele traz a malandragem de novo pra sua vida

Ele foi la rei no catimbó, em otário ele da nó
Seu Zé do morro diz que eu não ando só
Ele passou lá no Juremê, quem planta há de colher
Malandro igual a esse há de nascer

O moço é que eu cheguei agora
Eu não quero ir embora desse samba
Pois quando otário repara a ginga
Aí malandro se vinga quando pensam que é dança

E quando ele desce do seu morro
Geral pede Socorro, a Zé Pelintra
Pois quando te falta a sagacidade
Ele traz a malandragem de novo pra sua vida

Ele foi la rei no catimbó, em otário ele da nó.
Seu zé do morro diz que eu não ando só
Ele passou lá no Juremê, quem planta há de colher
Malandro igual a esse há de nascer",Angelo,Zé do Morro,
Malandros,Alagoas,"Oh Zé
Quando vem de Alagoas
Toma cuidado
Com o balanço da canoa (2x)

Oh Zé, faça tudo que quiser
Só não maltrate
O coração dessa mulher

Oh Zé, faça tudo o que quiser
Traga dinheiro pra gastar no cabaré",,,
Malandros,Pode me chamar de covarde,"Pode me chamar de covarde
Mas não abandono essa mulher (2x)

Isso não é mulher
É uma tentação (2x)

Ela joga baralho
Ela puxa a navalha
Risca a faca no chão (2x)",,,
Malandros,Radio Patrulha,"Se a radio-patrulha
Chegasse aqui agora
Seria uma grande vitória
Ninguém poderia correr (2x)

Agora... que eu quero ver
Quem é malandro
Não pode correr (2x)",,,
Malandros,Ás 4,"Ás quatro da madrugada
Ela me acorda
E eu não quero nada (2x)

Mas qualquer dia
Eu quebro esse seu despertador
Mas trabalhar eu não vou (2x)",,,
Malandros,Fumando bagulho,"Estava sentado no muro
Fumando um bagulho
E a polícia chegou
Joguei o bagulho pro alto
Saí no pinote e ninguém me pegou (2x)

Houve tiroteio, houve confusão
Parou na porta um camburão (2x)",,,
Malandros,Quem é essa mulher,"Quem é essa mulher
Na porta do Cabaré (2x)

Oh cabaré, cabaré
Quem é essa mulher (2x)",,,
Malandros,Saia do meio,"Saia do meio
Arreda aí, vai lá pro canto (2x)

Zum zum zum
Zum zum zum
A gira agora é do malandro (2x)",,,
Malandros,Tomou conta da favela,"Uma vela não ilumina uma favela
Mas vai iluminar
O caminho da casa dela (2x)

Apaga a luz, acende as velas
Que a malandragem
Tomou conta da favela (2x)",,,
Malandros,Trato com malandro,"Você que fez trato com malandro
Trato feito não volta atrás (2x)

Você conseguiu o que queria
Mas aquilo que devia
Você não lembra mais (2x)

Corre o fogo, corre o vento
Corre até não poder mais
Um dia você me paga
Nas voltas que o mundo dá (2x)",,,
Malandros,Trabalhar pra que,"De manhãzinha
Quando eu vou desço o morro
A nega pensa que eu vou trabalhar (2x)

Eu colo meu baralho no bolso
Meu cachecol no pescoço
E vou pra Barão de Mauá (2x)

Trabalhar, Trabalhar
Trabalhar pra quê?
Se eu trabalhar, eu vou morrer (2x)",,,
Malandros,Toma cuidado,"Toma cuidado nego
Eu vou dizer como é que é
Malandragem boa
É malandragem de mulher",,,
Malandros,Central do Brazil,"Estava na central do Brazil
A polícia chegou
Me deu um tapa e todo o mundo viu (2x)

Oh seu polícia eu sou trabalhador
O dinheiro que eu ganho
Não dá pra sair
Com a mulher do senhor (2x)",,,
Malandros,Feliz na vida,"Fui feliz na vida
Acredite se quiser (2x)

Eu amei três coisas
O jogo, São Jorge e a mulher (2x)",,,
Malandros,Não sou uma boa companhia,"Falaram que eu não valo nada
É porque eu gosto de dançar
Na madrugada
É porque eu gosto de
Beber cerveja na boemia
Falaram que eu não sou
Uma boa companhia (2x)

Jo jo corojão
Não me meto na vida de ninguém
Se é malandro ou otário
Trato todo mundo bem (2x)

Corojão morreu
Com o pescoço torto
De tanto corojar a vida do outro (2x)",,,
Malandros,Eu menti pra ela Zé,"Eu menti pra ela Zé
Disse que não gostava dela Zé
E que ela podia ir
Que não ia doer
Falei que não íamos dar certo
E seria bem melhor
Pra ela assim

Eu a fiz chorar seu Zé
Também achei que ela
Não fosse embora Zé
Quando me virou as costas
Eu só sabia chorar

Oh Zé, Oh Zé
Nunca vi um malandro chorar
Por uma mulher (2x)

Eu ando triste, O Zé
Minha alma chora
Eu ando triste, O Zé
Não vá embora

Oh Zé minha vida tem sido ruim
Se não fosse você
O que seria de mim",,,
Malandros,Meu irmão,"Malandro te digo meu irmão
Que essa nega
Mexeu com meu coração (2x)

Eu hoje vou subir lá na favela
Vou dizer pro marido dela
Que eu me apaixonei por ela

Malandro eu posso até correr perigo
Mas se eu descer o morro
A nega desce comigo (2x)",,,
Malandros,Chora viola,"Malandro desce o morro
Para dar o seu recado
É melhor andar sozinho
Do que mal acompanhado (2x)

Chora viola
A Malandragem
Vai chegar aqui agora (2x)",,,
Malandros,Traz de lado o seu chapéu,"Malandro bom
Traz de lado o seu chapéu (2x)

Ele é seu camisa preta
Ele é o malandro Miguel (2x)

Galo cantou
Três horas da madrugada
Oh quem matou camisa preta
Foi o Cabo da Brigada (2x)",,,
Malandros,Xadrez,"Estava preso no xadrez
Quando ouvi a notícia
Que a minha sentença
Era um ano e seis meses (2x)

Dei um pulo pro alto
Quase desmaiei
Pensando naquela pretinha
Que eu tanto amei

Todo o domingo
Ela vinha me visitar
Botava boquinha na grade
Para me beijar",,,
Malandros,Zé da Lapa,"Eh tudo por conta de quem falava
A língua de falador
Machuca mais que uma bala

É venenosa
Cheia de disse me disse
Na vida de muita gente
Essa dor ainda existe

E por conta de quem falava
Ele acabou com a sua vida

E a noite de Zé da Lapa
A meu deus do céu
Sua visão se esvaía
Até morrer ele ensinava
Lará
Quem olhou não entendia

E seu Zé quem mostrou Navalha
Lará
Como é a dor da despedida

E uma coisa ele dizia seu amor
Os olhos de Navalha enxugou

E meia triste despedida
Ah esse Malandro te espera
Em outra vida",,,
Malandros,Madalena vem em socorro,"Descarrega, descarrega
Que esse filho tem precisao
Madalena vem em soccorro
Limpa toda a obesessao

Ogun já está de ronda
Exu de prontidao
Leva pro mar profundo
Toda dor e aflicao",,,
Malandros,Descarrego dos Orixás,"Ogun bateu na terra, no rai de Xango
Toda a poeira que sobrou
Oxum pra Aruanda levou, levou, levou
Licenca de Oxossi ela ganhou
Na onda de Iemanjá
Iansa no barra-vento
Pra Oxalá tudo levou, levou, levou",,,
Malandros,Descarrega descarrega,"Descarrega, descarrega
Todo mal que aqui está
Leva, leva, leva
Tudo pró fundo do mar",,,
Malandros,Subida,"Agora pro seu morro vai subir
Meu Deus ele já vai embora
Conversa de malandro não tem fim
Boa noite meus senhores
Boa noite minhas senhoras",,,
